Hello World
school,prefix,ip,model,sysname,location,MAC,serial
Using corphelp.csv
======= 10 Chester Street Children and Families
======= 10-14 Manor Place
======= 10-14 Manor Place
======= 63 Niddrie Mains Terrace
======= 63 Niddrie Mains Terrace
======= Advice Shop
======= Assembley Rooms Corporate
Assembley Rooms Corporate,CORP,10.189.140.8,,C-0345-SW-2960-01,Unknown,5C:50:15:35:D4:80,
Assembley Rooms Corporate,CORP,10.189.140.9,,C-0345-SW-2960-02,Unknown,5C:50:15:8C:49:80,
Assembley Rooms Corporate,CORP,10.189.140.21,Unknown,Unknown,Unknown,Unknown,Unknown
Assembley Rooms Corporate,CORP,10.189.140.26,Unknown,Unknown,Unknown,Unknown,Unknown
Assembley Rooms Corporate,CORP,10.189.140.28,FS750T2,,,,Unknown
======= ATRIA ONE - 1547 - Data Vlan
ATRIA ONE - 1547 - Data Vlan,CORP,10.155.12.8,,C-1547-SW-2960-01,Unknown,18:9C:5D:FD:C1:00,
======= ATRIA ONE - 1547 - Voice Vlan
ATRIA ONE - 1547 - Voice Vlan,CORP,10.155.15.8,,C-1547-SW-2960-01,Unknown,18:9C:5D:FD:C1:00,
======= Baileyfield Direct Service Organisation
Baileyfield Direct Service Organisation,CORP,10.162.8.8,WS-C2950G-24-EI,C-0336-SW-2950-01,,00:09:E8:E3:62:40,FHK0625W19W
======= Bangholm Sports Centre
Bangholm Sports Centre,CORP,10.164.32.8,,C-1507-SW-2960-01,Unknown,08:1F:F3:F9:0F:00,
======= Bankhead Avenue (POP - BHA) Edinburgh Road Services
Bankhead Avenue (POP - BHA) Edinburgh Road Services,CORP,10.139.32.8,WS-C2960-48TC-L,C-1502-SW-2960-01,Unknown,00:1C:F9:C7:D0:00,FOC1130X2HT
Bankhead Avenue (POP - BHA) Edinburgh Road Services,CORP,10.139.32.9,WS-C2960-48TC-L,C-1502-SW-2960-02,Unknown,00:1C:B1:BB:E8:00,FOC1130X2JW
Bankhead Avenue (POP - BHA) Edinburgh Road Services,CORP,10.139.32.10,WS-C2960-24TC-L,C-1502-SW-2960-03,Unknown,00:1C:57:B0:18:00,FOC1125X0GN
Bankhead Avenue (POP - BHA) Edinburgh Road Services,CORP,10.139.32.11,WS-C2960-24TC-L,C-1502-SW-2960-04,Unknown,00:1B:0D:DA:AA:80,FOC1123ZC5W
Bankhead Avenue (POP - BHA) Edinburgh Road Services,CORP,10.139.32.12,WS-C2960-24TC-S,C-1502-SW-2960-05,Unknown,00:22:0C:F3:16:80,FOC1224X2AH
Bankhead Avenue (POP - BHA) Edinburgh Road Services,CORP,10.139.32.13,Unknown,Unknown,Unknown,Unknown,Unknown
Bankhead Avenue (POP - BHA) Edinburgh Road Services,CORP,10.139.32.25,Unknown,Unknown,Unknown,Unknown,Unknown
Bankhead Avenue (POP - BHA) Edinburgh Road Services,CORP,10.139.32.26,FS750T2,,,,Unknown
======= Barnton Depot
Barnton Depot,CORP,10.154.36.8,WS-C2960-8TC-L,c-1408-sw-2960-01,Unknown,00:1E:BD:E4:42:80,FOC1150Z3JT
Barnton Depot,CORP,10.154.36.21,Unknown,Unknown,Unknown,Unknown,Unknown
Barnton Depot,CORP,10.154.36.25,Unknown,Unknown,Unknown,Unknown,Unknown
Barnton Depot,CORP,10.154.36.26,Unknown,Unknown,Unknown,Unknown,Unknown
Barnton Depot,CORP,10.154.36.27,FS750T2,,,,Unknown
======= Bingham Way Homeless Accomodation
Bingham Way Homeless Accomodation,CORP,10.162.24.8,WS-C2950G-24-EI,C-1479-SW-2950-01,,00:14:A9:60:B0:00,FCZ0931X0F6
======= Blackford Depot
Blackford Depot,CORP,10.147.64.8,WS-C2960-8TC-L,c-1455-sw-2960-01,Unknown,00:22:0D:39:50:80,FOC1224U491
======= Blackfriars Street
Blackfriars Street,CORP,10.189.108.8,WS-C2960-48TC-L,C-1511-SW-2960-01,Unknown,00:24:F7:61:67:00,FOC1307Z1V6
======= Blackhall Library
Blackhall Library,CORP,10.154.8.10,WS-C2950C-24,c-350-sw-2950-02,,00:09:7C:3E:38:40,FOC0614Z1JH
Blackhall Library,CORP,10.154.8.12,Unknown,Unknown,Unknown,Unknown,Unknown
======= "Bonnington ATC
"Bonnington ATC, 200 Bonnington Rd",10.163.48.8,,C-0197-SW-2960-01,Unknown,B8:62:1F:AA:0F:00,
"Bonnington ATC, 200 Bonnington Rd",10.163.48.9,,C-0197-SW-2960-02,Unknown,64:AE:0C:75:A8:80,
"Bonnington ATC, 200 Bonnington Rd",10.163.48.13,Unknown,Unknown,Unknown,Unknown,Unknown
======= "Bonnington ATC
======= BT Alexander Graham Bell House CEC Corporate VLAN 11
BT Alexander Graham Bell House CEC Corporate VLAN 11,CORP,10.101.4.18,Unknown,Unknown,Unknown,Unknown,Unknown
BT Alexander Graham Bell House CEC Corporate VLAN 11,CORP,10.101.4.22,Unknown,Unknown,Unknown,Unknown,Unknown
======= BT Alexander Graham Bell House CEC Management VLAN 16
======= BT Sighthill CEC Corporate VLAN
BT Sighthill CEC Corporate VLAN,CORP,10.102.4.16,Unknown,Unknown,Unknown,Unknown,Unknown
======= BT Sighthill Management VLAN
BT Sighthill Management VLAN,CORP,10.102.16.15,Unknown,Unknown,Unknown,Unknown,Unknown
BT Sighthill Management VLAN,CORP,10.102.16.25,Unknown,Unknown,Unknown,Unknown,Unknown
BT Sighthill Management VLAN,CORP,10.102.16.26,Unknown,Unknown,Unknown,Unknown,Unknown
======= Capital Exchange C-VD-CLIENT1
======= Capital Exchange C-VD-CLIENT2
======= Capital Exchange C-VD-CLIENT3
======= Capital Exchange C-VD-CLIENT4
======= Capital Skills
Capital Skills,CORP,10.161.20.8,WS-C2950G-24-EI,CAPITAL_SKILLS,,00:0D:65:79:D1:00,FOC0728W2PE
Capital Skills,CORP,10.161.20.9,WS-C2950G-24-EI,c-1346-sw-2950-02,,00:0C:85:50:EC:40,FOC0713W07E
======= Capito Livingston (POP  - CLL)
======= CaslteCliff
CaslteCliff,CORP,10.189.76.8,WS-C2950-24,C-1432-SW-2950-01,,00:0C:85:7E:5F:C0,FOC0712Y16X
======= "CEC Services for Communities
"CEC Services for Communities, 13 Newtoft St",10.147.52.8,,C-1519-SW-2960-01,Unknown,00:26:52:53:2C:80,
======= Chesser Vlan 1(Management)
======= Chesser Vlan 2(Contact Centre)
======= Chesser Vlan 3(BDS)
======= Chesser Vlan 6(Corporate)
======= Chesser House Server VLAN
======= Chesser(NPC)
======= City Chambers Vlan 1(Management)
City Chambers Vlan 1(Management),CORP,10.189.4.9,WS-C3550-24-SMI,C-0271-SW-3550-02,,00:09:B7:42:E0:00,CAT0619X020
City Chambers Vlan 1(Management),CORP,10.189.4.10,WS-C2950G-48-EI,Chambers_CabA_1,,00:0A:41:30:EE:00,FHK0626Y0TU
City Chambers Vlan 1(Management),CORP,10.189.4.11,WS-C3548-XL-EN,Chambers_CabA_2,,00:09:7C:65:B8:C0,FOC0615W1UZ
City Chambers Vlan 1(Management),CORP,10.189.4.15,,Chambers_CabB_1,,00:0E:D7:30:7B:00,
City Chambers Vlan 1(Management),CORP,10.189.4.17,WS-C2950G-48-EI,Chambers_CabB_3,,00:0A:41:30:EE:40,FHK0626Y0TX
City Chambers Vlan 1(Management),CORP,10.189.4.18,WS-C3750G-24TS-S,,Unknown,00:14:6A:F6:28:00,CAT0924R05K
City Chambers Vlan 1(Management),CORP,10.189.4.19,Unknown,Unknown,Unknown,Unknown,Unknown
City Chambers Vlan 1(Management),CORP,10.189.4.20,WS-C2950G-48-EI,Chambers_CabB_4,,00:0B:BE:E4:C6:00,FOC0652X1CA
======= City Chambers Vlan 3(Corporate)
City Chambers Vlan 3(Corporate),CORP,10.189.8.15,Unknown,Unknown,Unknown,Unknown,Unknown
City Chambers Vlan 3(Corporate),CORP,10.189.8.20,Unknown,Unknown,Unknown,Unknown,Unknown
City Chambers Vlan 3(Corporate),CORP,10.189.8.22,Unknown,Unknown,Unknown,Unknown,Unknown
======= City Chambers Vlan 4(City Dev)
City Chambers Vlan 4(City Dev),CORP,10.189.12.9,Unknown,Unknown,Unknown,Unknown,Unknown
City Chambers Vlan 4(City Dev),CORP,10.189.12.15,Unknown,Unknown,Unknown,Unknown,Unknown
======= City Chambers Vlan 7(GIS)
City Chambers Vlan 7(GIS),CORP,10.189.24.20,Unknown,Unknown,Unknown,Unknown,Unknown
======= City Chambers Vlan 9 (Licensing)
======= City Chambers Vlan 13 (Services for communities) 1 Cockburn Street
======= City Arts Centre
City Arts Centre,CORP,10.189.84.8,WS-C2950G-24-EI,C-0342-SW-2950-01,,00:16:C7:4E:1F:40,FCZ1003X0J1
City Arts Centre,CORP,10.189.84.9,WS-C2950G-24-EI,C-0342-SW-2950-02,,00:0D:65:79:D4:40,FOC0728X2KM
======= "Claremont House
======= Clermiston House
======= Clovenstone House
Clovenstone House,CORP,10.139.56.8,,C-0246-SW-2960-01,Unknown,30:37:A6:C4:E7:00,
======= CORP TEST MAN MIGRATION
======= Cowans Close
Cowans Close,CORP,10.156.12.8,,C-0032-SW-2960-01,Unknown,,
======= Cowgate Clinic
Cowgate Clinic,CORP,10.189.80.8,WS-C2950G-24-EI,C-1433-SW-2950-01,,00:0B:BE:3A:23:40,FOC0649Z1HC
======= Craighall Day Centre Granton
Craighall Day Centre Granton,CORP,10.164.20.8,,C-0202-SW-2960-01,Unknown,00:26:CA:0F:B1:00,
======= Craigmillar Childrens Centre Liberton
======= Crane Services
Crane Services,CORP,10.190.32.8,,C-0242-SW-2960-01,Unknown,00:26:CA:0F:8B:00,
======= Crimal Justice
======= Deanbank
Deanbank,CORP,10.148.16.8,,C-0198-SW-2960-01,Unknown,30:37:A6:C4:BB:00,
======= District Court
======= Drumbrae Data VLAN
Drumbrae Data VLAN,CORP,10.154.32.8,,C-1530-SW-2960-01,Unknown,A0:CF:5B:82:A6:00,
Drumbrae Data VLAN,CORP,10.154.32.9,,C-1530-SW-2960-02,Unknown,24:B6:57:58:94:80,
======= Drumbrae Voice VLAN
======= Drumbrae Care Home
Drumbrae Care Home,CORP,10.154.44.8,WS-C2950T-24,C-1532-SW-2950-01,Unknown,00:0D:65:1C:39:00,FOC0727Z1Q7
======= Drylaw YPC Dean
Drylaw YPC Dean,CORP,10.153.20.8,,C-0220-SW-2960-01,Unknown,00:26:CA:0F:2E:00,
======= Duddingston (POP - DUD)
======= Duddingston_Voice
======= Dumbiedykes Road
Dumbiedykes Road,CORP,10.190.12.8,WS-C2950-24,C-1434-SW-2950-01,,00:0D:29:D5:10:00,FOC0726Y189
======= Edinburgh Family Support Centre Liberton
