Hello World
Using goldhelp.csv
=======
Corstorphine Primary School,CORS,10.202.32.70,FS726T, Corstorphine PS 1_1, Main Cab, 00-18-4d-2e-21-74
Corstorphine Primary School,CORS,10.202.32.71,FS750T2, Corstorphine PS 1_2, Main Cab, 00-1e-2a-d6-fc-49
Corstorphine Primary School,CORS,10.202.32.72,FS750T2, Corstorphine PS 1_3, Main Cab, 00-1e-2a-d6-fc-4a
Corstorphine Primary School,CORS,10.202.32.73,FS750T2, corstorphine ext, extention, 10-0d-7f-b7-71-4e
=======
Craigentinny Primary School,CRAT,10.225.20.70,FS750T2,, Main Cab, 10-0d-7f-b7-71-56
Craigentinny Primary School,CRAT,10.225.20.71,FS750T2, Craigentinney PS 1_2, Main Cab, 00-1e-2a-d4-ea-54
=======
Craiglockhart Primary School,CRAL,10.201.24.70,FS726T, Craiglockart PS, Main Comms Cab, 00-14-6c-ea-c1-30
Craiglockhart Primary School,CRAL,10.201.24.71,FS726T, Craiglockhart PS 1_2, Main Cab, 00-24-b2-5e-f9-57
Craiglockhart Primary School,CRAL,10.201.24.72,FS750T2, Craiglockhart PS, Main Cab, c0-3f-0e-43-b2-00
=======
Craigour Park Primary School,CRAO,10.211.44.70,FS726T, Craigour PS 1_1, Main Comms Cab, 00-14-6c-ea-af-08
Craigour Park Primary School,CRAO,10.211.44.71,FS726T, Craigour PS 1_2, Main Cab, 00-24-b2-5e-fd-bd
Craigour Park Primary School,CRAO,10.211.44.72,FS726T, Craigour PS 1_3, Main Cab, 00-24-b2-5e-fd-be
Craigour Park Primary School,CRAO,10.211.44.73,FS750T2, craigour primary, coms cab, 10-0d-7f-bd-90-f6
Craigour Park Primary School,CRAO,10.211.44.74,FS750T2, craigour annexe, annexe cpd, 04-a1-51-6b-c0-f2
=======
Craigroyston Primary School,CRAR,10.217.32.70,FS726T, Craigroyston PS 1_1, Main Cab (room 049), 00-14-6c-eb-a4-fb
Craigroyston Primary School,CRAR,10.217.32.71,FS750T2,, Main Cab (room 049), e0-91-f5-1f-82-66
=======
Cramond Primary School,CRAM,10.218.20.70,FS750T2, crammond primary, comms cab 1, 10-0d-7f-b2-a9-15
=======
=======
Dalmeny Primary School,DALM,10.218.24.70,FS750T2, Dalmeny PS, Main Cab, e0-91-f5-20-f4-40
Dalmeny Primary School,DALM,10.218.24.71,FS726T, DalmenyNETSW2, Nursery, 00-24-b2-5e-fd-00
=======
Dalry Primary School,DALR,10.201.28.70,FS750T2, , Dalry Primary 1, 00-22-3f-ea-b2-08
Dalry Primary School,DALR,10.201.28.71,FS750T2, , Dalry Primary 2, e0-91-f5-95-8f-1e
=======
Davidson's Mains Primary School,DAVI,10.218.28.70,GS724T,Unknown,Unknown,Unknown
Davidson's Mains Primary School,DAVI,10.218.28.71,FS750T2, DMains PS 1_2, Main Cab, 00-1e-2a-d6-fc-2f
Davidson's Mains Primary School,DAVI,10.218.28.72,FS750T2, DMains PS 1_3, Main Cab, 00-1e-2a-d6-fc-30
Davidson's Mains Primary School,DAVI,10.218.28.73,FS726T, DMains PS 2_1, Cab 2, 00-24-b2-5e-fc-c6
Davidson's Mains Primary School,DAVI,10.218.28.74,FS726T, DMains PS 3_1, Cab 3 (Out Building), 00-24-b2-5e-fd-11
Davidson's Mains Primary School,DAVI,10.218.28.75,FS726T, DMains PS 4_1, Nursery, 00-24-b2-5e-fd-b0
=======
Dean Park Primary School,DEAN,10.203.32.70,GS724T,Unknown,Unknown,Unknown
Dean Park Primary School,DEAN,10.203.32.71,FS726T, Dean Park PS, Main Cab, 00-24-b2-5e-fc-e2
Dean Park Primary School,DEAN,10.203.32.72,FS726T, Dean Park PS, Computer Suite, 00-24-b2-5e-fd-28
Dean Park Primary School,DEAN,10.203.32.73,FS726T, Dean Park PS, P2 Cupboard, 00-24-b2-5e-fc-f2
Dean Park Primary School,DEAN,10.203.32.74,FS726T, Dean Park PS, Nursery, 00-24-b2-5e-fc-de
Dean Park Primary School,DEAN,10.203.32.75,GS724T,Unknown,Unknown,Unknown
=======
=======
Duddingston Primary School,DUDD,10.226.16.70,GS724T,Unknown,Unknown,Unknown
Duddingston Primary School,DUDD,10.226.16.71,FS726T, Duddingston PS, Main Cab, 00-24-b2-5e-fc-e1
Duddingston Primary School,DUDD,10.226.16.72,FS750T2, Duddingston PS, ICT Room, 00-22-3f-f1-51-83
Duddingston Primary School,DUDD,10.226.16.73,FS726T, Duddingston PS, Nursery, 00-24-b2-5e-fd-22
=======
East Craigs Primary School,EAST,10.202.40.70,GS724T,Unknown,Unknown,Unknown
East Craigs Primary School,EAST,10.202.40.71,FS750T2, East Craigs PS, Cabinet 1- Main, 10-0d-7f-bd-90-76
East Craigs Primary School,EAST,10.202.40.72,FS726T, East Craigs PS, Cab 2, 00-24-b2-5e-fd-24
East Craigs Primary School,EAST,10.202.40.73,FS726T, East Craigs PS, Nursery (Cab 3), 00-24-b2-5e-fd-25
East Craigs Primary School,EAST,10.202.40.74,FS750T2, East Craigs PS, Cab 3, 00-18-4d-79-de-a9
=======
Echline Primary School,ECHL,10.218.32.70,FS726T, Echline PS 1, Main Cab, 00-18-4d-30-27-c1
Echline Primary School,ECHL,10.218.32.71,FS750T2, Echline PS 2, Main Cab, 00-22-3f-e1-df-3a
Echline Primary School,ECHL,10.218.32.72,FS750T2, Echline PS 3, ICT Suite, e0-91-f5-95-90-38
=======
Ferryhill Primary School,FERR,10.217.20.70,FS726T, , Ferryhill Primary 1, 00-14-6c-eb-a5-1a
Ferryhill Primary School,FERR,10.217.20.71,FS750T2, , Ferryhill Primary 2, c0-3f-0e-44-95-96
=======
Flora Stevenson Primary School,FLOR,10.217.24.70,FS750T2, Flora Stevenson, Main Cab, e0-91-f5-1f-82-0a
Flora Stevenson Primary School,FLOR,10.217.24.71,FS750T2, Flora Stevenson, Main Cab, e0-91-f5-1f-82-25
Flora Stevenson Primary School,FLOR,10.217.24.72,FS726T, Flora Stevenson PS 3, Nursery, 00-18-4d-3a-60-a3
Flora Stevenson Primary School,FLOR,10.217.24.73,FS726T, Flora Stevenson PS4, New Building, 00-1b-2f-af-4f-82
=======
Fort Nursery School,FORT,10.227.16.70,FS750T2, Fort, Main Cab, 00-22-3f-de-09-8b
Fort Nursery School,FORT,10.227.16.71,FS726T, , Fort Primary 2, 00-18-4d-2d-20-02
=======
Forthview Primary School,FORV,10.217.76.70,FS750T2, Forthview PS, Main Cab, 00-22-3f-e1-dd-6a
Forthview Primary School,FORV,10.217.76.71,FS750T2, Forthview PS, Main Cab, 00-22-3f-e1-df-19
Forthview Primary School,FORV,10.217.76.72,FS750T2, Forthview PS, Main Cab, e0-91-f5-95-8f-ed
=======
Fox Covert Primary School,FOXC,10.202.64.70,FS726T, , Fox Covert PS 1-1, 00-14-6c-eb-a4-7e
Fox Covert Primary School,FOXC,10.202.64.71,FS750T2, fox covert, janitors office, 04-a1-51-6a-46-c9
=======
Fox Covert RC Primary School,FOXR,10.202.44.70,FS726T, , Fox Covert RCPS, 00-14-6c-eb-a4-b2
Fox Covert RC Primary School,FOXR,10.202.44.71,FS726T, , Fox Covert RCPS, 00-14-6c-ea-c1-34
=======
Gilmerton Primary School,GILM,10.211.32.70,GS724T,Unknown,Unknown,Unknown
Gilmerton Primary School,GILM,10.211.32.71,FS726T, Gilmerton PS, Main Cab 1_2, 00-24-b2-5e-fd-ca
Gilmerton Primary School,GILM,10.211.32.72,FS726T, Gilmerton PS, Cab 2, 00-24-b2-5e-fd-6a
