Primary,Bonaly Primary School,BONA,bonaly,lt-cap-ad-1.ltad.ea.edin.sch.uk,:10.219.32.0:10.219.33.0:10.219.34.0:10.219.35.0:10.209.28.0:10.209.29.0:10.209.30.0:10.209.31.0:
Primary,Davidson's Mains Primary School,DAVI,davidsonsmains,lt-cap-ad-1.ltad.ea.edin.sch.uk,:10.218.28.0:10.218.29.0:10.218.30.0:10.218.31.0:
Primary,Lorne Primary School,LORN,lorne,lt-cap-ad-1.ltad.ea.edin.sch.uk,:10.227.28.0:10.227.29.0:10.227.30.0:10.227.31.0:
Primary,St Peter's RC Primary School,STPE,st-peters,lt-cap-ad-2.ltad.ea.edin.sch.uk,:10.212.20.0:10.212.21.0:10.212.22.0:10.212.23.0:
Secondary,Craigmount High School,CRM,craigmount,ecraigmhs-1.ltad.ea.edin.sch.uk,:10.202.4.0:10.202.5.0:10.202.6.0:10.202.7.0:
Secondary,St Thomas of Aquin's High School,STT,stthomasofaquins,estthomhs-1.ltad.ea.edin.sch.uk,:10.219.36.0:10.219.37.0:10.219.38.0:10.219.39.0:
Secondary,Wester Hailes Education Centre,WES,whec,ewesterhs-1.ltad.ea.edin.sch.uk,:10.203.12.0:10.203.13.0:10.203.14.0:10.203.15.0:
Special,Braidburn Special School,BRAI,braidburn,lt-cap-ad-1.ltad.ea.edin.sch.uk,:10.209.36.0:10.209.37.0:10.209.38.0:10.209.39.0:
Special,Panmuir St. Ann's Special School,CLPA,panmuir-st-anns,lt-cap-ad-1.ltad.ea.edin.sch.uk,:10.254.40.0:10.254.41.0:10.254.42.0:10.254.43.0:10.254.48.0:10.254.49.0:10.254.50.0:10.254.51.0:10.254.48.0:10.254.40.0:
